Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total 	Residentes en España	2023M09	36.082
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total 	Residentes en el Extranjero	2023M09	5.514
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total 		2023M09	69.823
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total 	Residentes en España	2023M09	61.223
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	8.600
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total 		2023M09	27.683
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total 	Residentes en España	2023M09	23.534
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total 	Residentes en el Extranjero	2023M09	4.150
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total 		2023M09	49.192
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total 	Residentes en España	2023M09	41.702
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	7.490
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total 		2023M09	23.159
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total 	Residentes en España	2023M09	19.102
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total 	Residentes en el Extranjero	2023M09	4.056
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total 		2023M09	39.745
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total 	Residentes en España	2023M09	31.928
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	7.817
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total 		2023M09	88.570
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total 	Residentes en España	2023M09	67.725
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total 	Residentes en el Extranjero	2023M09	20.845
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total 		2023M09	140.912
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total 	Residentes en España	2023M09	105.691
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	35.222
Total Nacional	09 Cataluña		Viajero	Total 		2023M09	2.214.499
Total Nacional	09 Cataluña		Viajero	Total 	Residentes en España	2023M09	763.037
Total Nacional	09 Cataluña		Viajero	Total 	Residentes en el Extranjero	2023M09	1.451.462
Total Nacional	09 Cataluña		Pernoctaciones	Total 		2023M09	6.659.315
Total Nacional	09 Cataluña		Pernoctaciones	Total 	Residentes en España	2023M09	1.616.219
Total Nacional	09 Cataluña		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	5.043.096
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total 		2023M09	1.231.473
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total 	Residentes en España	2023M09	293.697
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total 	Residentes en el Extranjero	2023M09	937.777
Total Nacional	09 Cataluña	08 Barcelona	Pernoctaciones	Total 		2023M09	3.409.673
Total Nacional	09 Cataluña	08 Barcelona	Pernoctaciones	Total 	Residentes en España	2023M09	564.658
Total Nacional	09 Cataluña	08 Barcelona	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	2.845.014
Total Nacional	09 Cataluña	17 Girona	Viajero	Total 		2023M09	498.584
Total Nacional	09 Cataluña	17 Girona	Viajero	Total 	Residentes en España	2023M09	185.079
Total Nacional	09 Cataluña	17 Girona	Viajero	Total 	Residentes en el Extranjero	2023M09	313.506
Total Nacional	09 Cataluña	17 Girona	Pernoctaciones	Total 		2023M09	1.597.521
Total Nacional	09 Cataluña	17 Girona	Pernoctaciones	Total 	Residentes en España	2023M09	386.792
Total Nacional	09 Cataluña	17 Girona	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	1.210.729
Total Nacional	09 Cataluña	25 Lleida	Viajero	Total 		2023M09	79.196
Total Nacional	09 Cataluña	25 Lleida	Viajero	Total 	Residentes en España	2023M09	58.116
Total Nacional	09 Cataluña	25 Lleida	Viajero	Total 	Residentes en el Extranjero	2023M09	21.080
Total Nacional	09 Cataluña	25 Lleida	Pernoctaciones	Total 		2023M09	152.480
Total Nacional	09 Cataluña	25 Lleida	Pernoctaciones	Total 	Residentes en España	2023M09	112.708
Total Nacional	09 Cataluña	25 Lleida	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	39.772
Total Nacional	09 Cataluña	43 Tarragona	Viajero	Total 		2023M09	405.244
Total Nacional	09 Cataluña	43 Tarragona	Viajero	Total 	Residentes en España	2023M09	226.145
Total Nacional	09 Cataluña	43 Tarragona	Viajero	Total 	Residentes en el Extranjero	2023M09	179.099
Total Nacional	09 Cataluña	43 Tarragona	Pernoctaciones	Total 		2023M09	1.499.641
Total Nacional	09 Cataluña	43 Tarragona	Pernoctaciones	Total 	Residentes en España	2023M09	552.060
Total Nacional	09 Cataluña	43 Tarragona	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	947.581
Total Nacional	10 Comunitat Valenciana		Viajero	Total 		2023M09	878.343
Total Nacional	10 Comunitat Valenciana		Viajero	Total 	Residentes en España	2023M09	469.386
Total Nacional	10 Comunitat Valenciana		Viajero	Total 	Residentes en el Extranjero	2023M09	408.957
Total Nacional	10 Comunitat Valenciana		Pernoctaciones	Total 		2023M09	2.913.239
Total Nacional	10 Comunitat Valenciana		Pernoctaciones	Total 	Residentes en España	2023M09	1.399.222
Total Nacional	10 Comunitat Valenciana		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	1.514.018
Total Nacional	10 Comunitat Valenciana	03 Alicante/Alacant	Viajero	Total 		2023M09	428.389
Total Nacional	10 Comunitat Valenciana	03 Alicante/Alacant	Viajero	Total 	Residentes en España	2023M09	196.753
Total Nacional	10 Comunitat Valenciana	03 Alicante/Alacant	Viajero	Total 	Residentes en el Extranjero	2023M09	231.636
Total Nacional	10 Comunitat Valenciana	03 Alicante/Alacant	Pernoctaciones	Total 		2023M09	1.718.678
Total Nacional	10 Comunitat Valenciana	03 Alicante/Alacant	Pernoctaciones	Total 	Residentes en España	2023M09	665.520
Total Nacional	10 Comunitat Valenciana	03 Alicante/Alacant	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	1.053.158
Total Nacional	10 Comunitat Valenciana	12 Castellón/Castelló	Viajero	Total 		2023M09	119.528
Total Nacional	10 Comunitat Valenciana	12 Castellón/Castelló	Viajero	Total 	Residentes en España	2023M09	91.965
Total Nacional	10 Comunitat Valenciana	12 Castellón/Castelló	Viajero	Total 	Residentes en el Extranjero	2023M09	27.563
Total Nacional	10 Comunitat Valenciana	12 Castellón/Castelló	Pernoctaciones	Total 		2023M09	385.045
Total Nacional	10 Comunitat Valenciana	12 Castellón/Castelló	Pernoctaciones	Total 	Residentes en España	2023M09	304.202
Total Nacional	10 Comunitat Valenciana	12 Castellón/Castelló	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	80.843
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Viajero	Total 		2023M09	330.426
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Viajero	Total 	Residentes en España	2023M09	180.668
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Viajero	Total 	Residentes en el Extranjero	2023M09	149.758
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Pernoctaciones	Total 		2023M09	809.517
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Pernoctaciones	Total 	Residentes en España	2023M09	429.500
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	380.017
Total Nacional	11 Extremadura		Viajero	Total 		2023M09	133.061
Total Nacional	11 Extremadura		Viajero	Total 	Residentes en España	2023M09	108.788
Total Nacional	11 Extremadura		Viajero	Total 	Residentes en el Extranjero	2023M09	24.274
Total Nacional	11 Extremadura		Pernoctaciones	Total 		2023M09	237.480
Total Nacional	11 Extremadura		Pernoctaciones	Total 	Residentes en España	2023M09	200.961
Total Nacional	11 Extremadura		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	36.520
Total Nacional	11 Extremadura	06 Badajoz	Viajero	Total 		2023M09	67.062
Total Nacional	11 Extremadura	06 Badajoz	Viajero	Total 	Residentes en España	2023M09	53.869
Total Nacional	11 Extremadura	06 Badajoz	Viajero	Total 	Residentes en el Extranjero	2023M09	13.193
Total Nacional	11 Extremadura	06 Badajoz	Pernoctaciones	Total 		2023M09	116.955
Total Nacional	11 Extremadura	06 Badajoz	Pernoctaciones	Total 	Residentes en España	2023M09	96.826
Total Nacional	11 Extremadura	06 Badajoz	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	20.129
Total Nacional	11 Extremadura	10 Cáceres	Viajero	Total 		2023M09	65.999
Total Nacional	11 Extremadura	10 Cáceres	Viajero	Total 	Residentes en España	2023M09	54.918
Total Nacional	11 Extremadura	10 Cáceres	Viajero	Total 	Residentes en el Extranjero	2023M09	11.081
Total Nacional	11 Extremadura	10 Cáceres	Pernoctaciones	Total 		2023M09	120.525
Total Nacional	11 Extremadura	10 Cáceres	Pernoctaciones	Total 	Residentes en España	2023M09	104.134
Total Nacional	11 Extremadura	10 Cáceres	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	16.391
Total Nacional	12 Galicia		Viajero	Total 		2023M09	593.625
Total Nacional	12 Galicia		Viajero	Total 	Residentes en España	2023M09	350.866
Total Nacional	12 Galicia		Viajero	Total 	Residentes en el Extranjero	2023M09	242.759
Total Nacional	12 Galicia		Pernoctaciones	Total 		2023M09	1.101.249
Total Nacional	12 Galicia		Pernoctaciones	Total 	Residentes en España	2023M09	722.410
Total Nacional	12 Galicia		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	378.839
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 		2023M09	274.807
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en España	2023M09	145.259
Total Nacional	12 Galicia	15 Coruña, A	Viajero	Total 	Residentes en el Extranjero	2023M09	129.548
Total Nacional	12 Galicia	15 Coruña, A	Pernoctaciones	Total 		2023M09	454.871
Total Nacional	12 Galicia	15 Coruña, A	Pernoctaciones	Total 	Residentes en España	2023M09	253.778
Total Nacional	12 Galicia	15 Coruña, A	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	201.093
Total Nacional	12 Galicia	27 Lugo	Viajero	Total 		2023M09	93.714
Total Nacional	12 Galicia	27 Lugo	Viajero	Total 	Residentes en España	2023M09	56.148
Total Nacional	12 Galicia	27 Lugo	Viajero	Total 	Residentes en el Extranjero	2023M09	37.566
Total Nacional	12 Galicia	27 Lugo	Pernoctaciones	Total 		2023M09	141.255
Total Nacional	12 Galicia	27 Lugo	Pernoctaciones	Total 	Residentes en España	2023M09	94.156
Total Nacional	12 Galicia	27 Lugo	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	47.099
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 		2023M09	36.263
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en España	2023M09	31.140
Total Nacional	12 Galicia	32 Ourense	Viajero	Total 	Residentes en el Extranjero	2023M09	5.123
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 		2023M09	72.467
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en España	2023M09	63.429
Total Nacional	12 Galicia	32 Ourense	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	9.038
Total Nacional	12 Galicia	36 Pontevedra	Viajero	Total 		2023M09	188.842
Total Nacional	12 Galicia	36 Pontevedra	Viajero	Total 	Residentes en España	2023M09	118.319
Total Nacional	12 Galicia	36 Pontevedra	Viajero	Total 	Residentes en el Extranjero	2023M09	70.522
Total Nacional	12 Galicia	36 Pontevedra	Pernoctaciones	Total 		2023M09	432.655
Total Nacional	12 Galicia	36 Pontevedra	Pernoctaciones	Total 	Residentes en España	2023M09	311.047
Total Nacional	12 Galicia	36 Pontevedra	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	121.608
Total Nacional	13 Madrid, Comunidad de		Viajero	Total 		2023M09	1.147.653
Total Nacional	13 Madrid, Comunidad de		Viajero	Total 	Residentes en España	2023M09	564.048
Total Nacional	13 Madrid, Comunidad de		Viajero	Total 	Residentes en el Extranjero	2023M09	583.605
Total Nacional	13 Madrid, Comunidad de		Pernoctaciones	Total 		2023M09	2.298.250
Total Nacional	13 Madrid, Comunidad de		Pernoctaciones	Total 	Residentes en España	2023M09	985.818
Total Nacional	13 Madrid, Comunidad de		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	1.312.432
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total 		2023M09	1.147.653
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total 	Residentes en España	2023M09	564.048
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Viajero	Total 	Residentes en el Extranjero	2023M09	583.605
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total 		2023M09	2.298.250
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total 	Residentes en España	2023M09	985.818
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	1.312.432
Total Nacional	14 Murcia, Región de		Viajero	Total 		2023M09	138.757
Total Nacional	14 Murcia, Región de		Viajero	Total 	Residentes en España	2023M09	102.562
Total Nacional	14 Murcia, Región de		Viajero	Total 	Residentes en el Extranjero	2023M09	36.195
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total 		2023M09	324.600
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total 	Residentes en España	2023M09	215.458
Total Nacional	14 Murcia, Región de		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	109.141
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total 		2023M09	138.757
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total 	Residentes en España	2023M09	102.562
Total Nacional	14 Murcia, Región de	30 Murcia	Viajero	Total 	Residentes en el Extranjero	2023M09	36.195
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total 		2023M09	324.600
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total 	Residentes en España	2023M09	215.458
Total Nacional	14 Murcia, Región de	30 Murcia	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	109.141
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total 		2023M09	113.270
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total 	Residentes en España	2023M09	73.026
Total Nacional	15 Navarra, Comunidad Foral de		Viajero	Total 	Residentes en el Extranjero	2023M09	40.243
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total 		2023M09	204.119
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total 	Residentes en España	2023M09	142.940
Total Nacional	15 Navarra, Comunidad Foral de		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	61.180
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total 		2023M09	113.270
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total 	Residentes en España	2023M09	73.026
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Viajero	Total 	Residentes en el Extranjero	2023M09	40.243
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total 		2023M09	204.119
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total 	Residentes en España	2023M09	142.940
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	61.180
Total Nacional	16 País Vasco		Viajero	Total 		2023M09	355.924
Total Nacional	16 País Vasco		Viajero	Total 	Residentes en España	2023M09	163.029
Total Nacional	16 País Vasco		Viajero	Total 	Residentes en el Extranjero	2023M09	192.895
Total Nacional	16 País Vasco		Pernoctaciones	Total 		2023M09	712.964
Total Nacional	16 País Vasco		Pernoctaciones	Total 	Residentes en España	2023M09	320.155
Total Nacional	16 País Vasco		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	392.809
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total 		2023M09	47.277
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total 	Residentes en España	2023M09	29.985
Total Nacional	16 País Vasco	01 Araba/Álava	Viajero	Total 	Residentes en el Extranjero	2023M09	17.291
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total 		2023M09	96.704
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total 	Residentes en España	2023M09	62.515
Total Nacional	16 País Vasco	01 Araba/Álava	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	34.190
Total Nacional	16 País Vasco	48 Bizkaia	Viajero	Total 		2023M09	166.913
Total Nacional	16 País Vasco	48 Bizkaia	Viajero	Total 	Residentes en España	2023M09	73.457
Total Nacional	16 País Vasco	48 Bizkaia	Viajero	Total 	Residentes en el Extranjero	2023M09	93.456
Total Nacional	16 País Vasco	48 Bizkaia	Pernoctaciones	Total 		2023M09	329.523
Total Nacional	16 País Vasco	48 Bizkaia	Pernoctaciones	Total 	Residentes en España	2023M09	136.534
Total Nacional	16 País Vasco	48 Bizkaia	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	192.989
Total Nacional	16 País Vasco	20 Gipuzkoa	Viajero	Total 		2023M09	141.734
Total Nacional	16 País Vasco	20 Gipuzkoa	Viajero	Total 	Residentes en España	2023M09	59.586
Total Nacional	16 País Vasco	20 Gipuzkoa	Viajero	Total 	Residentes en el Extranjero	2023M09	82.147
Total Nacional	16 País Vasco	20 Gipuzkoa	Pernoctaciones	Total 		2023M09	286.737
Total Nacional	16 País Vasco	20 Gipuzkoa	Pernoctaciones	Total 	Residentes en España	2023M09	121.106
Total Nacional	16 País Vasco	20 Gipuzkoa	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	165.631
Total Nacional	17 Rioja, La		Viajero	Total 		2023M09	59.309
Total Nacional	17 Rioja, La		Viajero	Total 	Residentes en España	2023M09	39.984
Total Nacional	17 Rioja, La		Viajero	Total 	Residentes en el Extranjero	2023M09	19.324
Total Nacional	17 Rioja, La		Pernoctaciones	Total 		2023M09	104.708
Total Nacional	17 Rioja, La		Pernoctaciones	Total 	Residentes en España	2023M09	70.292
Total Nacional	17 Rioja, La		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	34.416
Total Nacional	17 Rioja, La	26 Rioja, La	Viajero	Total 		2023M09	59.309
Total Nacional	17 Rioja, La	26 Rioja, La	Viajero	Total 	Residentes en España	2023M09	39.984
Total Nacional	17 Rioja, La	26 Rioja, La	Viajero	Total 	Residentes en el Extranjero	2023M09	19.324
Total Nacional	17 Rioja, La	26 Rioja, La	Pernoctaciones	Total 		2023M09	104.708
Total Nacional	17 Rioja, La	26 Rioja, La	Pernoctaciones	Total 	Residentes en España	2023M09	70.292
Total Nacional	17 Rioja, La	26 Rioja, La	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	34.416
Total Nacional	18 Ceuta		Viajero	Total 		2023M09	4.917
Total Nacional	18 Ceuta		Viajero	Total 	Residentes en España	2023M09	3.432
Total Nacional	18 Ceuta		Viajero	Total 	Residentes en el Extranjero	2023M09	1.485
Total Nacional	18 Ceuta		Pernoctaciones	Total 		2023M09	11.004
Total Nacional	18 Ceuta		Pernoctaciones	Total 	Residentes en España	2023M09	7.674
Total Nacional	18 Ceuta		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	3.330
Total Nacional	19 Melilla		Viajero	Total 		2023M09	5.114
Total Nacional	19 Melilla		Viajero	Total 	Residentes en España	2023M09	4.006
Total Nacional	19 Melilla		Viajero	Total 	Residentes en el Extranjero	2023M09	1.108
Total Nacional	19 Melilla		Pernoctaciones	Total 		2023M09	12.861
Total Nacional	19 Melilla		Pernoctaciones	Total 	Residentes en España	2023M09	11.208
Total Nacional	19 Melilla		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	1.654
