,provincia,media_tmed,media_prec,media_sol,media_tmin,media_tmax,mes
0,A CORUÃ‘A,10.768303571428572,1.5225352112676056,5.409022556390977,6.922321428571428,14.616517857142856,febrero
1,ALBACETE,9.515178571428573,0.19090909090909092,7.1596153846153845,3.148214285714286,15.877678571428572,febrero
2,ALICANTE,12.166964285714286,0.07222222222222222,7.178571428571429,5.994642857142857,18.33660714285714,febrero
3,ALMERIA,13.342727272727274,0.16642857142857143,7.192857142857143,8.209090909090909,18.477272727272727,febrero
4,ARABA/ALAVA,6.5125,0.366,5.073214285714286,-0.24285714285714285,13.269642857142857,febrero
5,ASTURIAS,9.59096989966555,1.45191637630662,5.686567164179104,5.618394648829431,13.566220735785954,febrero
6,AVILA,8.616071428571429,0.22499999999999998,6.792857142857143,2.1589285714285715,15.053571428571429,febrero
7,BADAJOZ,11.331547619047619,0.13690476190476192,7.321323529411765,4.488095238095238,18.18095238095238,febrero
8,BARCELONA,11.382142857142858,0.08642857142857142,6.0375,6.654285714285715,16.109285714285715,febrero
9,BIZKAIA,10.154736842105264,1.4444444444444444,4.192857142857143,5.417894736842106,14.886315789473684,febrero
10,BURGOS,5.575,0.16417910447761194,5.073214285714286,-1.5585714285714285,12.71142857142857,febrero
11,CACERES,10.973571428571429,0.19214285714285717,7.7073170731707314,4.748571428571428,17.193571428571428,febrero
12,CADIZ,13.891836734693879,0.22953367875647668,7.326785714285714,9.198979591836734,18.577551020408162,febrero
13,CANTABRIA,9.124489795918368,1.1228723404255319,5.398809523809524,4.4035714285714285,13.848469387755102,febrero
14,CASTELLON,8.755952380952381,0.2910714285714286,7.2749999999999995,3.661904761904762,13.848809523809523,febrero
15,CIUDAD REAL,9.489928057553955,0.3379562043795621,7.196296296296296,2.1669064748201436,16.820143884892087,febrero
16,CORDOBA,11.87027027027027,0.4376146788990826,8.310714285714285,5.531531531531532,18.215315315315316,febrero
17,CUENCA,8.355223880597014,0.26176470588235295,6.502272727272728,0.7283582089552239,15.991044776119404,febrero
18,GIPUZKOA,9.694642857142858,1.9503144654088052,4.3845238095238095,5.239285714285715,14.151785714285714,febrero
19,GIRONA,7.549541284403669,0.33636363636363636,6.478571428571429,0.7009174311926606,14.396330275229358,febrero
20,GRANADA,10.783035714285715,0.47040816326530616,6.845238095238095,2.725,18.838392857142857,febrero
21,GUADALAJARA,6.455952380952381,0.1822784810126582,6.957142857142857,-2.0095238095238095,14.926190476190476,febrero
22,HUELVA,13.841071428571428,0.18648648648648647,8.246428571428572,8.153571428571428,19.523214285714285,febrero
23,HUESCA,7.699107142857143,0.7318181818181818,6.359036144578313,1.324107142857143,14.075892857142858,febrero
24,ILLES BALEARS,11.281785714285714,0.12619926199261994,7.321428571428571,6.247142857142857,16.309285714285714,febrero
25,JAEN,11.661428571428571,0.36428571428571427,6.983333333333333,5.3828571428571435,17.946428571428573,febrero
26,LA RIOJA,8.439285714285715,0.05714285714285715,6.739285714285714,1.8714285714285714,14.99642857142857,febrero
27,LAS PALMAS,19.755851063829788,0.35445026178010475,7.375903614457832,16.413297872340426,23.1031914893617,febrero
28,LEON,5.84375,0.2724770642201835,6.7285714285714295,-0.7008928571428571,12.385714285714286,febrero
29,LLEIDA,7.435849056603774,0.49230769230769234,7.667857142857143,0.15566037735849056,14.730188679245284,febrero
30,LUGO,7.9071428571428575,0.9642857142857143,5.075,1.55,14.25357142857143,febrero
31,MADRID,8.153846153846153,0.3996951219512195,7.050595238095238,1.9746794871794873,14.334935897435898,febrero
32,MALAGA,14.381060606060606,0.16792452830188678,5.643636363636364,10.025,18.743939393939392,febrero
33,MURCIA,12.493040293040293,0.08902439024390243,7.058673469387755,6.348717948717949,18.64212454212454,febrero
34,NAVARRA,8.142857142857142,0.5431654676258992,5.960714285714286,2.0907142857142857,14.194285714285714,febrero
35,OURENSE,8.116964285714285,0.56875,5.123636363636364,0.9973214285714286,15.231250000000001,febrero
36,PALENCIA,5.776190476190476,0.29047619047619044,6.505454545454546,-1.4726190476190477,13.033333333333333,febrero
37,PONTEVEDRA,11.223214285714286,1.5897959183673471,5.678846153846154,6.466071428571429,15.982142857142858,febrero
38,SALAMANCA,6.788571428571428,0.12086330935251799,6.627272727272727,-0.1292857142857143,13.707142857142857,febrero
39,SEGOVIA,5.7375,0.39999999999999997,5.5874999999999995,1.0982142857142858,10.367857142857144,febrero
40,SEVILLA,12.904285714285713,0.21323529411764705,7.951785714285714,5.720714285714285,20.089285714285715,febrero
41,SORIA,6.464285714285714,0.23703703703703705,7.028571428571429,-0.8107142857142857,13.739285714285714,febrero
42,STA. CRUZ DE TENERIFE,17.432142857142857,1.3218390804597702,7.117365269461077,14.135357142857144,20.728928571428572,febrero
43,TARRAGONA,12.24642857142857,0.014545454545454545,6.910714285714286,6.205357142857143,18.271428571428572,febrero
44,TERUEL,8.046428571428573,0.06126126126126126,7.144047619047619,0.8392857142857143,15.254464285714286,febrero
45,TOLEDO,9.384158415841584,0.27734375,7.252830188679245,2.0752475247524753,16.694059405940592,febrero
46,VALENCIA,12.326775956284154,0.29226519337016577,7.065765765765765,6.424590163934426,18.22568306010929,febrero
47,VALLADOLID,6.514285714285714,0.09642857142857143,6.6625000000000005,-0.3821428571428572,13.410714285714286,febrero
48,ZAMORA,6.669047619047619,0.1357142857142857,6.583132530120482,-0.786904761904762,14.125,febrero
49,ZARAGOZA,8.715,0.047407407407407405,6.980357142857143,2.225714285714286,15.212142857142856,febrero
